ACDNet NIfTI Volume Quality Evaluation
Date: 2025-03-23 08:36:27
dataset7_CLINIC_metal_0000_data.nii.gz[072]     18.28    0.7766
dataset7_CLINIC_metal_0000_data.nii.gz[073]     18.30    0.7770
dataset7_CLINIC_metal_0000_data.nii.gz[074]     18.32    0.7774
dataset7_CLINIC_metal_0000_data.nii.gz[075]     18.34    0.7778
dataset7_CLINIC_metal_0000_data.nii.gz[076]     18.34    0.7777
dataset7_CLINIC_metal_0000_data.nii.gz[077]     18.35    0.7773
dataset7_CLINIC_metal_0000_data.nii.gz[078]     18.35    0.7775
dataset7_CLINIC_metal_0000_data.nii.gz[079]     18.35    0.7775
dataset7_CLINIC_metal_0000_data.nii.gz[080]     18.35    0.7777
dataset7_CLINIC_metal_0000_data.nii.gz[081]     18.34    0.7773
dataset7_CLINIC_metal_0000_data.nii.gz[082]     18.32    0.7761
dataset7_CLINIC_metal_0000_data.nii.gz[083]     18.31    0.7753
dataset7_CLINIC_metal_0000_data.nii.gz[084]     18.28    0.7757
dataset7_CLINIC_metal_0000_data.nii.gz[085]     18.26    0.7759
dataset7_CLINIC_metal_0000_data.nii.gz[086]     18.25    0.7759
dataset7_CLINIC_metal_0000_data.nii.gz[087]     18.25    0.7756
dataset7_CLINIC_metal_0000_data.nii.gz[088]     18.24    0.7752
dataset7_CLINIC_metal_0000_data.nii.gz[089]     18.25    0.7754
dataset7_CLINIC_metal_0000_data.nii.gz[090]     18.27    0.7758
dataset7_CLINIC_metal_0000_data.nii.gz[091]     18.29    0.7763
dataset7_CLINIC_metal_0000_data.nii.gz[092]     18.30    0.7768
dataset7_CLINIC_metal_0000_data.nii.gz[093]     18.31    0.7772
dataset7_CLINIC_metal_0000_data.nii.gz[094]     18.32    0.7774
dataset7_CLINIC_metal_0000_data.nii.gz[095]     18.33    0.7776
dataset7_CLINIC_metal_0000_data.nii.gz[096]     18.33    0.7775
dataset7_CLINIC_metal_0000_data.nii.gz[097]     18.33    0.7779
dataset7_CLINIC_metal_0000_data.nii.gz[098]     18.33    0.7782
dataset7_CLINIC_metal_0000_data.nii.gz[099]     18.34    0.7786
dataset7_CLINIC_metal_0000_data.nii.gz[100]     18.34    0.7785
dataset7_CLINIC_metal_0000_data.nii.gz[101]     18.34    0.7792
dataset7_CLINIC_metal_0000_data.nii.gz[102]     18.33    0.7797
dataset7_CLINIC_metal_0000_data.nii.gz[103]     18.33    0.7794
dataset7_CLINIC_metal_0000_data.nii.gz[104]     18.33    0.7795
dataset7_CLINIC_metal_0000_data.nii.gz[105]     18.32    0.7793
dataset7_CLINIC_metal_0000_data.nii.gz[106]     18.32    0.7794
dataset7_CLINIC_metal_0000_data.nii.gz[107]     18.32    0.7802
dataset7_CLINIC_metal_0000_data.nii.gz[108]     18.32    0.7812
dataset7_CLINIC_metal_0000_data.nii.gz[109]     18.31    0.7814
dataset7_CLINIC_metal_0000_data.nii.gz[110]     18.30    0.7812
dataset7_CLINIC_metal_0000_data.nii.gz[111]     18.30    0.7808
dataset7_CLINIC_metal_0000_data.nii.gz[112]     18.28    0.7811
dataset7_CLINIC_metal_0000_data.nii.gz[113]     18.26    0.7814
dataset7_CLINIC_metal_0000_data.nii.gz[114]     18.25    0.7816
dataset7_CLINIC_metal_0000_data.nii.gz[115]     18.26    0.7821
dataset7_CLINIC_metal_0000_data.nii.gz[116]     18.26    0.7825
dataset7_CLINIC_metal_0000_data.nii.gz[117]     18.26    0.7827
dataset7_CLINIC_metal_0000_data.nii.gz[118]     18.26    0.7835
dataset7_CLINIC_metal_0000_data.nii.gz[119]     18.26    0.7840
dataset7_CLINIC_metal_0000_data.nii.gz[120]     18.29    0.7841
dataset7_CLINIC_metal_0000_data.nii.gz[121]     18.31    0.7842
dataset7_CLINIC_metal_0000_data.nii.gz[122]     18.34    0.7845
dataset7_CLINIC_metal_0000_data.nii.gz[123]     18.36    0.7845
dataset7_CLINIC_metal_0000_data.nii.gz[124]     18.39    0.7836
dataset7_CLINIC_metal_0000_data.nii.gz[125]     18.45    0.7819
dataset7_CLINIC_metal_0000_data.nii.gz[126]     18.49    0.7798
dataset7_CLINIC_metal_0000_data.nii.gz[127]     18.53    0.7775
dataset7_CLINIC_metal_0000_data.nii.gz[128]     18.55    0.7752
dataset7_CLINIC_metal_0000_data.nii.gz[129]     18.56    0.7733
dataset7_CLINIC_metal_0000_data.nii.gz[130]     18.57    0.7718
dataset7_CLINIC_metal_0000_data.nii.gz[131]     18.57    0.7708
dataset7_CLINIC_metal_0000_data.nii.gz[132]     18.58    0.7698
dataset7_CLINIC_metal_0000_data.nii.gz[133]     18.60    0.7692
dataset7_CLINIC_metal_0000_data.nii.gz[134]     18.61    0.7681
dataset7_CLINIC_metal_0000_data.nii.gz[135]     18.61    0.7668
dataset7_CLINIC_metal_0000_data.nii.gz[136]     18.61    0.7649
dataset7_CLINIC_metal_0000_data.nii.gz[137]     18.61    0.7632
dataset7_CLINIC_metal_0000_data.nii.gz[138]     18.61    0.7623
dataset7_CLINIC_metal_0000_data.nii.gz[139]     18.61    0.7618
dataset7_CLINIC_metal_0000_data.nii.gz[140]     18.61    0.7609
dataset7_CLINIC_metal_0000_data.nii.gz[141]     18.39    0.7594
dataset7_CLINIC_metal_0000_data.nii.gz[142]     17.87    0.7591
dataset7_CLINIC_metal_0000_data.nii.gz[143]     17.63    0.7600
dataset7_CLINIC_metal_0000_data.nii.gz[144]     17.54    0.7603
dataset7_CLINIC_metal_0000_data.nii.gz[145]     17.32    0.7584
dataset7_CLINIC_metal_0000_data.nii.gz[146]     17.11    0.7569
dataset7_CLINIC_metal_0000_data.nii.gz[147]     17.00    0.7574
dataset7_CLINIC_metal_0000_data.nii.gz[148]     16.92    0.7590
dataset7_CLINIC_metal_0000_data.nii.gz[149]     16.77    0.7590
dataset7_CLINIC_metal_0000_data.nii.gz[150]     16.56    0.7598
dataset7_CLINIC_metal_0000_data.nii.gz[151]     16.41    0.7604
dataset7_CLINIC_metal_0000_data.nii.gz[152]     16.31    0.7602
dataset7_CLINIC_metal_0000_data.nii.gz[153]     16.25    0.7601
dataset7_CLINIC_metal_0000_data.nii.gz[154]     16.35    0.7604
dataset7_CLINIC_metal_0000_data.nii.gz[155]     16.51    0.7614
dataset7_CLINIC_metal_0000_data.nii.gz[156]     16.72    0.7623
dataset7_CLINIC_metal_0000_data.nii.gz[157]     16.87    0.7632
dataset7_CLINIC_metal_0000_data.nii.gz[158]     16.95    0.7641
dataset7_CLINIC_metal_0000_data.nii.gz[159]     17.01    0.7649
dataset7_CLINIC_metal_0000_data.nii.gz[160]     17.03    0.7660
dataset7_CLINIC_metal_0000_data.nii.gz[161]     17.14    0.7667
dataset7_CLINIC_metal_0000_data.nii.gz[162]     17.16    0.7661
dataset7_CLINIC_metal_0000_data.nii.gz[163]     17.03    0.7654
dataset7_CLINIC_metal_0000_data.nii.gz[164]     16.92    0.7651
dataset7_CLINIC_metal_0000_data.nii.gz[165]     16.76    0.7643
dataset7_CLINIC_metal_0000_data.nii.gz[166]     16.49    0.7628
dataset7_CLINIC_metal_0000_data.nii.gz[167]     16.20    0.7619
dataset7_CLINIC_metal_0000_data.nii.gz[168]     15.98    0.7622
dataset7_CLINIC_metal_0000_data.nii.gz[169]     15.75    0.7634
dataset7_CLINIC_metal_0000_data.nii.gz[170]     15.53    0.7646
dataset7_CLINIC_metal_0000_data.nii.gz[171]     15.38    0.7657
dataset7_CLINIC_metal_0000_data.nii.gz[172]     15.27    0.7660
dataset7_CLINIC_metal_0000_data.nii.gz[173]     15.21    0.7682
dataset7_CLINIC_metal_0000_data.nii.gz[174]     15.16    0.7702
dataset7_CLINIC_metal_0000_data.nii.gz[175]     15.19    0.7727
dataset7_CLINIC_metal_0000_data.nii.gz[176]     15.25    0.7745
dataset7_CLINIC_metal_0000_data.nii.gz[177]     15.24    0.7762
dataset7_CLINIC_metal_0000_data.nii.gz[178]     15.27    0.7772
dataset7_CLINIC_metal_0000_data.nii.gz[179]     15.41    0.7777
dataset7_CLINIC_metal_0000_data.nii.gz[180]     15.54    0.7782
dataset7_CLINIC_metal_0000_data.nii.gz[181]     15.71    0.7783
dataset7_CLINIC_metal_0000_data.nii.gz[182]     15.93    0.7780
dataset7_CLINIC_metal_0000_data.nii.gz[183]     16.05    0.7776
dataset7_CLINIC_metal_0000_data.nii.gz[184]     16.21    0.7791
dataset7_CLINIC_metal_0000_data.nii.gz[185]     16.37    0.7809
dataset7_CLINIC_metal_0000_data.nii.gz[186]     16.46    0.7819
dataset7_CLINIC_metal_0000_data.nii.gz[187]     16.60    0.7840
dataset7_CLINIC_metal_0000_data.nii.gz[188]     16.81    0.7858
dataset7_CLINIC_metal_0000_data.nii.gz[189]     16.87    0.7875
dataset7_CLINIC_metal_0000_data.nii.gz[190]     16.88    0.7885
dataset7_CLINIC_metal_0000_data.nii.gz[191]     16.97    0.7904
dataset7_CLINIC_metal_0000_data.nii.gz[192]     17.02    0.7919
dataset7_CLINIC_metal_0000_data.nii.gz[193]     17.03    0.7922
dataset7_CLINIC_metal_0000_data.nii.gz[194]     16.89    0.7916
dataset7_CLINIC_metal_0000_data.nii.gz[195]     16.66    0.7906
dataset7_CLINIC_metal_0000_data.nii.gz[196]     16.57    0.7894
dataset7_CLINIC_metal_0000_data.nii.gz[197]     16.69    0.7878
dataset7_CLINIC_metal_0000_data.nii.gz[198]     16.89    0.7871
dataset7_CLINIC_metal_0000_data.nii.gz[199]     17.15    0.7871
dataset7_CLINIC_metal_0000_data.nii.gz[200]     17.29    0.7880
dataset7_CLINIC_metal_0000_data.nii.gz[201]     17.47    0.7887
dataset7_CLINIC_metal_0000_data.nii.gz[202]     17.72    0.7875
dataset7_CLINIC_metal_0000_data.nii.gz[203]     17.87    0.7864
dataset7_CLINIC_metal_0000_data.nii.gz[204]     17.87    0.7873
dataset7_CLINIC_metal_0000_data.nii.gz[205]     17.86    0.7869
dataset7_CLINIC_metal_0000_data.nii.gz[206]     17.85    0.7869
dataset7_CLINIC_metal_0000_data.nii.gz[207]     17.84    0.7866
dataset7_CLINIC_metal_0000_data.nii.gz[208]     17.81    0.7867
dataset7_CLINIC_metal_0000_data.nii.gz[209]     17.78    0.7863
dataset7_CLINIC_metal_0000_data.nii.gz[210]     17.81    0.7866
dataset7_CLINIC_metal_0000_data.nii.gz[211]     17.92    0.7856
dataset7_CLINIC_metal_0000_data.nii.gz[212]     18.07    0.7833
dataset7_CLINIC_metal_0000_data.nii.gz[213]     18.27    0.7792
dataset7_CLINIC_metal_0000_data.nii.gz[214]     18.43    0.7775
dataset7_CLINIC_metal_0000_data.nii.gz[215]     18.54    0.7769
dataset7_CLINIC_metal_0000_data.nii.gz[216]     18.67    0.7770
dataset7_CLINIC_metal_0000_data.nii.gz[217]     18.69    0.7790
dataset7_CLINIC_metal_0000_data.nii.gz[218]     18.69    0.7805
dataset7_CLINIC_metal_0000_data.nii.gz[225]     18.69    0.7879
dataset7_CLINIC_metal_0000_data.nii.gz[239]     18.69    0.8025
dataset7_CLINIC_metal_0000_data.nii.gz[240]     18.69    0.8029
dataset7_CLINIC_metal_0000_data.nii.gz[246]     18.69    0.8058
dataset7_CLINIC_metal_0000_data.nii.gz[247]     18.69    0.8070
dataset7_CLINIC_metal_0000_data.nii.gz[248]     18.69    0.8082
dataset7_CLINIC_metal_0000_data.nii.gz[251]     18.69    0.8106
dataset7_CLINIC_metal_0000_data.nii.gz[252]     18.69    0.8113
dataset7_CLINIC_metal_0000_data.nii.gz[253]     18.69    0.8120
dataset7_CLINIC_metal_0000_data.nii.gz[254]     18.69    0.8129
dataset7_CLINIC_metal_0000_data.nii.gz[255]     18.69    0.8142
dataset7_CLINIC_metal_0000_data.nii.gz[256]     18.69    0.8157
dataset7_CLINIC_metal_0000_data.nii.gz[257]     18.69    0.8169
dataset7_CLINIC_metal_0000_data.nii.gz[258]     18.69    0.8175
dataset7_CLINIC_metal_0000_data.nii.gz[262]     18.69    0.8197
dataset7_CLINIC_metal_0000_data.nii.gz[263]     18.69    0.8197
dataset7_CLINIC_metal_0000_data.nii.gz[265]     18.68    0.8208
dataset7_CLINIC_metal_0000_data.nii.gz[266]     18.68    0.8236
dataset7_CLINIC_metal_0000_data.nii.gz[267]     18.68    0.8283
dataset7_CLINIC_metal_0000_data.nii.gz[268]     18.65    0.8316
dataset7_CLINIC_metal_0000_data.nii.gz[269]     18.64    0.8318
dataset7_CLINIC_metal_0000_data.nii.gz[270]     18.65    0.8320
dataset7_CLINIC_metal_0000_data.nii.gz[271]     18.66    0.8326
dataset7_CLINIC_metal_0000_data.nii.gz[272]     18.67    0.8320
dataset7_CLINIC_metal_0000_data.nii.gz[273]     18.65    0.8289
dataset7_CLINIC_metal_0000_data.nii.gz[274]     18.63    0.8267
dataset7_CLINIC_metal_0000_data.nii.gz[275]     18.68    0.8260
dataset7_CLINIC_metal_0001_data.nii.gz[045]     18.69    0.8204
dataset7_CLINIC_metal_0001_data.nii.gz[046]     18.63    0.8213
dataset7_CLINIC_metal_0001_data.nii.gz[047]     18.59    0.8222
dataset7_CLINIC_metal_0001_data.nii.gz[048]     18.59    0.8221
dataset7_CLINIC_metal_0001_data.nii.gz[049]     18.56    0.8218
dataset7_CLINIC_metal_0001_data.nii.gz[050]     18.46    0.8223
dataset7_CLINIC_metal_0001_data.nii.gz[051]     18.35    0.8232
dataset7_CLINIC_metal_0001_data.nii.gz[052]     18.32    0.8236
dataset7_CLINIC_metal_0001_data.nii.gz[053]     18.29    0.8239
dataset7_CLINIC_metal_0001_data.nii.gz[054]     18.31    0.8241
dataset7_CLINIC_metal_0001_data.nii.gz[055]     18.30    0.8246
dataset7_CLINIC_metal_0001_data.nii.gz[056]     18.24    0.8251
dataset7_CLINIC_metal_0001_data.nii.gz[057]     18.14    0.8256
dataset7_CLINIC_metal_0001_data.nii.gz[058]     18.08    0.8258
dataset7_CLINIC_metal_0001_data.nii.gz[059]     18.03    0.8262
dataset7_CLINIC_metal_0001_data.nii.gz[060]     18.01    0.8260
dataset7_CLINIC_metal_0001_data.nii.gz[061]     17.99    0.8255
dataset7_CLINIC_metal_0001_data.nii.gz[062]     17.98    0.8255
dataset7_CLINIC_metal_0001_data.nii.gz[063]     17.98    0.8253
dataset7_CLINIC_metal_0001_data.nii.gz[064]     17.97    0.8256
dataset7_CLINIC_metal_0001_data.nii.gz[065]     17.97    0.8259
dataset7_CLINIC_metal_0001_data.nii.gz[066]     17.96    0.8255
dataset7_CLINIC_metal_0001_data.nii.gz[067]     17.96    0.8257
dataset7_CLINIC_metal_0001_data.nii.gz[068]     17.96    0.8259
dataset7_CLINIC_metal_0001_data.nii.gz[069]     17.96    0.8268
dataset7_CLINIC_metal_0001_data.nii.gz[070]     17.97    0.8273
dataset7_CLINIC_metal_0001_data.nii.gz[071]     17.90    0.8276
dataset7_CLINIC_metal_0001_data.nii.gz[072]     17.76    0.8280
dataset7_CLINIC_metal_0001_data.nii.gz[073]     17.70    0.8284
dataset7_CLINIC_metal_0001_data.nii.gz[074]     17.67    0.8286
dataset7_CLINIC_metal_0001_data.nii.gz[075]     17.64    0.8288
dataset7_CLINIC_metal_0001_data.nii.gz[076]     17.59    0.8289
dataset7_CLINIC_metal_0001_data.nii.gz[077]     17.51    0.8290
dataset7_CLINIC_metal_0001_data.nii.gz[078]     17.49    0.8276
dataset7_CLINIC_metal_0001_data.nii.gz[079]     17.48    0.8266
dataset7_CLINIC_metal_0001_data.nii.gz[080]     17.50    0.8269
dataset7_CLINIC_metal_0001_data.nii.gz[081]     17.62    0.8278
dataset7_CLINIC_metal_0001_data.nii.gz[082]     17.69    0.8281
dataset7_CLINIC_metal_0001_data.nii.gz[083]     17.68    0.8283
dataset7_CLINIC_metal_0001_data.nii.gz[084]     17.69    0.8288
dataset7_CLINIC_metal_0001_data.nii.gz[085]     17.63    0.8286
dataset7_CLINIC_metal_0001_data.nii.gz[086]     17.66    0.8270
dataset7_CLINIC_metal_0001_data.nii.gz[087]     17.74    0.8255
dataset7_CLINIC_metal_0001_data.nii.gz[088]     17.76    0.8254
dataset7_CLINIC_metal_0001_data.nii.gz[089]     17.71    0.8254
dataset7_CLINIC_metal_0001_data.nii.gz[090]     17.67    0.8256
dataset7_CLINIC_metal_0001_data.nii.gz[091]     17.66    0.8263
dataset7_CLINIC_metal_0001_data.nii.gz[092]     17.55    0.8268
dataset7_CLINIC_metal_0001_data.nii.gz[093]     17.43    0.8270
dataset7_CLINIC_metal_0001_data.nii.gz[094]     17.41    0.8276
dataset7_CLINIC_metal_0001_data.nii.gz[095]     17.46    0.8287
dataset7_CLINIC_metal_0001_data.nii.gz[096]     17.48    0.8295
dataset7_CLINIC_metal_0001_data.nii.gz[097]     17.44    0.8290
dataset7_CLINIC_metal_0001_data.nii.gz[098]     17.41    0.8278
dataset7_CLINIC_metal_0001_data.nii.gz[099]     17.43    0.8260
dataset7_CLINIC_metal_0001_data.nii.gz[100]     17.50    0.8245
dataset7_CLINIC_metal_0001_data.nii.gz[101]     17.57    0.8243
dataset7_CLINIC_metal_0001_data.nii.gz[102]     17.66    0.8236
dataset7_CLINIC_metal_0001_data.nii.gz[103]     17.72    0.8222
dataset7_CLINIC_metal_0001_data.nii.gz[104]     17.73    0.8203
dataset7_CLINIC_metal_0001_data.nii.gz[105]     17.71    0.8196
dataset7_CLINIC_metal_0001_data.nii.gz[106]     17.70    0.8193
dataset7_CLINIC_metal_0001_data.nii.gz[107]     17.65    0.8194
dataset7_CLINIC_metal_0001_data.nii.gz[108]     17.69    0.8189
dataset7_CLINIC_metal_0001_data.nii.gz[109]     17.81    0.8189
dataset7_CLINIC_metal_0001_data.nii.gz[110]     17.89    0.8187
dataset7_CLINIC_metal_0001_data.nii.gz[111]     17.94    0.8190
dataset7_CLINIC_metal_0001_data.nii.gz[112]     18.01    0.8194
dataset7_CLINIC_metal_0001_data.nii.gz[113]     18.13    0.8195
dataset7_CLINIC_metal_0001_data.nii.gz[114]     18.25    0.8183
dataset7_CLINIC_metal_0001_data.nii.gz[115]     18.21    0.8171
dataset7_CLINIC_metal_0001_data.nii.gz[116]     18.27    0.8170
dataset7_CLINIC_metal_0001_data.nii.gz[117]     18.27    0.8170
dataset7_CLINIC_metal_0001_data.nii.gz[118]     18.26    0.8172
dataset7_CLINIC_metal_0001_data.nii.gz[119]     18.25    0.8166
dataset7_CLINIC_metal_0001_data.nii.gz[120]     18.21    0.8156
dataset7_CLINIC_metal_0001_data.nii.gz[121]     18.22    0.8147
dataset7_CLINIC_metal_0001_data.nii.gz[122]     18.24    0.8145
dataset7_CLINIC_metal_0001_data.nii.gz[123]     18.29    0.8150
dataset7_CLINIC_metal_0001_data.nii.gz[124]     18.28    0.8147
dataset7_CLINIC_metal_0001_data.nii.gz[125]     18.26    0.8149
dataset7_CLINIC_metal_0001_data.nii.gz[126]     18.33    0.8134
dataset7_CLINIC_metal_0001_data.nii.gz[127]     18.56    0.8105
dataset7_CLINIC_metal_0001_data.nii.gz[128]     18.70    0.8080
dataset7_CLINIC_metal_0001_data.nii.gz[204]     18.68    0.8289
dataset7_CLINIC_metal_0001_data.nii.gz[205]     18.66    0.8297
dataset7_CLINIC_metal_0001_data.nii.gz[206]     18.66    0.8303
dataset7_CLINIC_metal_0001_data.nii.gz[207]     18.66    0.8311
dataset7_CLINIC_metal_0001_data.nii.gz[208]     18.65    0.8318
dataset7_CLINIC_metal_0001_data.nii.gz[209]     18.65    0.8328
dataset7_CLINIC_metal_0001_data.nii.gz[210]     18.65    0.8340
dataset7_CLINIC_metal_0001_data.nii.gz[211]     18.65    0.8351
dataset7_CLINIC_metal_0001_data.nii.gz[212]     18.65    0.8370
dataset7_CLINIC_metal_0001_data.nii.gz[213]     18.65    0.8390
dataset7_CLINIC_metal_0001_data.nii.gz[214]     18.65    0.8414
dataset7_CLINIC_metal_0001_data.nii.gz[215]     18.65    0.8430
dataset7_CLINIC_metal_0001_data.nii.gz[216]     18.65    0.8446
dataset7_CLINIC_metal_0001_data.nii.gz[217]     18.63    0.8459
dataset7_CLINIC_metal_0001_data.nii.gz[218]     18.64    0.8468
dataset7_CLINIC_metal_0001_data.nii.gz[219]     18.64    0.8468
dataset7_CLINIC_metal_0001_data.nii.gz[220]     18.64    0.8473
dataset7_CLINIC_metal_0001_data.nii.gz[221]     18.63    0.8475
dataset7_CLINIC_metal_0001_data.nii.gz[222]     18.62    0.8474
dataset7_CLINIC_metal_0001_data.nii.gz[223]     18.63    0.8476
dataset7_CLINIC_metal_0001_data.nii.gz[224]     18.69    0.8479
dataset7_CLINIC_metal_0001_data.nii.gz[226]     18.69    0.8501
dataset7_CLINIC_metal_0001_data.nii.gz[227]     18.69    0.8508
dataset7_CLINIC_metal_0001_data.nii.gz[230]     18.70    0.8515
dataset7_CLINIC_metal_0001_data.nii.gz[231]     18.70    0.8518
dataset7_CLINIC_metal_0001_data.nii.gz[232]     18.70    0.8530
dataset7_CLINIC_metal_0001_data.nii.gz[233]     18.70    0.8537
dataset7_CLINIC_metal_0001_data.nii.gz[234]     18.70    0.8538
dataset7_CLINIC_metal_0001_data.nii.gz[235]     18.70    0.8534
dataset7_CLINIC_metal_0001_data.nii.gz[237]     18.70    0.8535
dataset7_CLINIC_metal_0001_data.nii.gz[238]     18.70    0.8534
dataset7_CLINIC_metal_0001_data.nii.gz[239]     18.70    0.8536
dataset7_CLINIC_metal_0002_data.nii.gz[086]     18.69    0.8111
dataset7_CLINIC_metal_0002_data.nii.gz[087]     18.69    0.8111
dataset7_CLINIC_metal_0002_data.nii.gz[096]     18.69    0.8129
dataset7_CLINIC_metal_0002_data.nii.gz[104]     18.69    0.8122
dataset7_CLINIC_metal_0002_data.nii.gz[105]     18.69    0.8122
dataset7_CLINIC_metal_0002_data.nii.gz[107]     18.69    0.8123
dataset7_CLINIC_metal_0002_data.nii.gz[108]     18.69    0.8124
dataset7_CLINIC_metal_0002_data.nii.gz[147]     18.69    0.8125
dataset7_CLINIC_metal_0002_data.nii.gz[160]     18.69    0.8113
dataset7_CLINIC_metal_0002_data.nii.gz[168]     18.69    0.8085
